year,rgn_name,status_ass,rgn_catch,unass_catch,unass_catch_prop,ass_catch_prop,status,goal,score,dimension
2007,Aristazabal Island,68.32897552205144,214926.454441172,187168.904441172,0.870850937953766,0.129149062046234,38.576799310652234,FIS,38.576799310652234,status
2007,Central Coast,88.09533713679319,39831754.5289924,9862748.4389924,0.247610193314823,0.752389806685177,77.18868540750526,FIS,77.18868540750526,status
2007,Haida Gwaii,67.2622720741975,19142050.92,11755290.6,0.614108208630761,0.385891791369239,46.609115368237354,FIS,46.609115368237354,status
2007,North Coast,78.38556644823194,6906832.85348322,4634037.61348322,0.670935248005344,0.329064751994656,52.089746715740006,FIS,52.089746715740006,status
2007,North Vancouver Island,87.52087686156344,14375629.2601448,4732867.0501448,0.329228513374804,0.670771486625196,73.11369277236753,FIS,73.11369277236753,status
2007,Pacific Offshore,84.50294212984048,312180.46,9217.08,0.029524845981712,0.970475154018288,83.25547395414794,FIS,83.25547395414794,status
2007,Strait of Georgia,87.24493034876691,13408211.9750385,13400668.0950385,0.999437368680176,5.62631319824369e-4,43.64700853953851,FIS,43.64700853953851,status
2007,West Vancouver Island,87.65524752545124,38061196.5516459,9911612.70164588,0.260412535591114,0.739587464408886,76.2419848924665,FIS,76.2419848924665,status
2007,NA,NA,NA,NA,NA,NA,NA,FIS,NA,status
2008,Aristazabal Island,57.32436182014366,1169580.74290393,1142380.2229039301,0.976743358536783,0.0232566414632173,29.32876697505124,FIS,29.32876697505124,status
2008,Central Coast,95.81140019225924,26858083.1707108,4152124.14071077,0.154594954312999,0.845405045687001,88.40542067456585,FIS,88.40542067456585,status
2008,Haida Gwaii,65.00025284546557,18690065.24,11240284.73,0.60140425331121,0.39859574668879,45.45453858168203,FIS,45.45453858168203,status
2008,North Coast,88.93836598977875,12904168.5672989,9152255.53729889,0.709247983670338,0.290752016329662,57.39868761518618,FIS,57.39868761518618,status
2008,North Vancouver Island,80.66789018416547,6563580.83481684,4130771.89481684,0.629347302756592,0.370652697243408,55.28383063093072,FIS,55.28383063093072,status
2008,Pacific Offshore,95.14225010272057,417566.42,12437.29,0.0297851776491031,0.970214822350897,93.7253356920981,FIS,93.7253356920981,status
2008,Strait of Georgia,94.07953704762146,12174455.0404806,12169803.3204806,0.999617911439606,3.82088560394123e-4,47.05774188124727,FIS,47.05774188124727,status
2008,West Vancouver Island,97.09859731758877,58984193.5802063,14536209.0302064,0.246442447508248,0.753557552491752,85.13398933130658,FIS,85.13398933130658,status
2008,NA,NA,NA,NA,NA,NA,NA,FIS,NA,status
