"","year","rgn_name","rgn_catch","unass_catch","unass_catch_prop","ass_catch_prop"
"1",2007,"Aristazabal Island",214926.454441172,187168.904441172,0.870850937953766,0.129149062046234
"2",2007,"Central Coast",39907463.3637631,9862748.4389924,0.247140449621962,0.752859550378038
"3",2007,"Haida Gwaii",20153280.4538013,11755290.6,0.58329415039638,0.41670584960362
"4",2007,"North Coast",6906832.85348322,4634037.61348322,0.670935248005344,0.329064751994656
"5",2007,"North Vancouver Island",14661221.3847325,4732867.0501448,0.322815332089138,0.677184667910862
"6",2007,"Pacific Offshore",1991119.46438941,9217.08,0.00462909441891599,0.995370905581084
"7",2007,"Strait of Georgia",13408211.9750385,13400668.0950385,0.999437368680176,0.000562631319824369
"8",2007,"West Vancouver Island",40592986.2795732,9911612.70164588,0.244170572556114,0.755829427443885
"9",2008,"Aristazabal Island",1169580.74290393,1142380.22290393,0.976743358536783,0.0232566414632173
"10",2008,"Central Coast",26858083.1707108,4152124.14071077,0.154594954312999,0.845405045687001
"11",2008,"Haida Gwaii",18690550.2573724,11240284.73,0.601388646948278,0.398611353051722
"12",2008,"North Coast",12904168.5672989,9152255.53729889,0.709247983670338,0.290752016329662
"13",2008,"North Vancouver Island",6563580.83481684,4130771.89481684,0.629347302756592,0.370652697243408
"14",2008,"Pacific Offshore",1121842.10057417,12437.29,0.0110864889039504,0.98891351109605
"15",2008,"Strait of Georgia",12174455.0404806,12169803.3204806,0.999617911439606,0.000382088560394123
"16",2008,"West Vancouver Island",59062001.3138125,14536209.0302064,0.246117786510002,0.753882213489998
"17",2009,"Aristazabal Island",479666.550298771,454057.200298771,0.94661009823585,0.0533899017641498
"18",2009,"Central Coast",17346522.5371802,5085115.8771802,0.293149008181949,0.706850991818051
"19",2009,"Haida Gwaii",21845981.9830838,14117849.7202318,0.646244683858283,0.353755316141717
"20",2009,"North Coast",5923763.38298049,5081576.21298049,0.857829032736236,0.142170967263764
"21",2009,"North Vancouver Island",12291924.4100201,6671595.27005221,0.542762471319273,0.457237528680727
"22",2009,"Pacific Offshore",1372730.34152022,9615.72,0.00700481347950038,0.9929951865205
"23",2009,"Strait of Georgia",18584244.9681076,18544835.5681076,0.997879418826666,0.00212058117333436
"24",2009,"West Vancouver Island",51663696.9619694,14065268.2164257,0.272246645972304,0.727753354027696
"25",2010,"Aristazabal Island",639150.780301064,588791.520301064,0.921209108160239,0.0787908918397611
"26",2010,"Central Coast",18230250.9232286,9532951.74754405,0.522919393029163,0.477080606970837
"27",2010,"Haida Gwaii",18513323.2151863,9241521.13284679,0.499182184928638,0.500817815071362
"28",2010,"North Coast",5351861.45354346,3841450.28354346,0.717778349998212,0.282221650001788
"29",2010,"North Vancouver Island",8680578.06883613,5870856.9553359,0.67632096719603,0.32367903280397
"30",2010,"Pacific Offshore",8887731.41005079,34715.01,0.00390594724326864,0.996094052756731
"31",2010,"Strait of Georgia",7878814.7294489,7873037.4494489,0.999266732345107,0.000733267654893122
"32",2010,"West Vancouver Island",60877385.035843,10583536.3140292,0.173850048056398,0.826149951943602
"33",2011,"Aristazabal Island",1024476.81016685,993976.140166846,0.97022805231186,0.0297719476881401
"34",2011,"Central Coast",15111378.9480777,5212590.8727847,0.344944752606301,0.655055247393699
"35",2011,"Haida Gwaii",14263298.5674679,7319205.81,0.513149589863726,0.486850410136274
"36",2011,"North Coast",9711568.94720201,8595484.04720201,0.885076767094203,0.114923232905797
"37",2011,"North Vancouver Island",19421123.7922593,6452203.00763223,0.332226037826085,0.667773962173915
"38",2011,"Pacific Offshore",1314076.09586351,6367.5,0.00484560979386493,0.995154390206135
"39",2011,"Strait of Georgia",7693390.25076427,7687581.64076427,0.999244986954948,0.000755013045051656
"40",2011,"West Vancouver Island",54050818.5781312,15620818.084793,0.289002433186334,0.710997566813666
"41",2012,"Aristazabal Island",114058.59,85526.64,0.749848301649179,0.250151698350821
"42",2012,"Central Coast",12027091.4833201,5370408.07997531,0.446525919206927,0.553474080793073
"43",2012,"Haida Gwaii",17234504.3160208,10845063.1199594,0.629264580001764,0.370735419998236
"44",2012,"North Coast",4901524.97797405,3888577.47797405,0.793340337027379,0.206659662972621
"45",2012,"North Vancouver Island",21275114.9735809,5365299.90735674,0.252186646888596,0.747813353111404
"46",2012,"Pacific Offshore",5915336.38151519,14818.8,0.00250514916553304,0.997494850834467
"47",2012,"Strait of Georgia",11768699.6586154,11309120.8986154,0.960949062060263,0.0390509379397375
"48",2012,"West Vancouver Island",47200126.6399564,15713811.249981,0.332918836634618,0.667081163365382
"49",2013,"Aristazabal Island",712839.634315244,679871.744315244,0.953751323000342,0.046248676999658
"50",2013,"Central Coast",14100787.6615308,9412649.49514753,0.667526504269455,0.332473495730545
"51",2013,"Haida Gwaii",12660459.8266103,6216991.81160408,0.491055767069133,0.508944232930867
"52",2013,"North Coast",5513672.428733,4330308.408733,0.785376437339074,0.214623562660926
"53",2013,"North Vancouver Island",23246207.8539449,4996359.60011041,0.214932243207251,0.785067756792749
"54",2013,"Pacific Offshore",9954813.50071871,30041.54,0.00301779033809434,0.996982209661906
"55",2013,"Strait of Georgia",16316571.3104604,14096211.8304604,0.863919972048505,0.136080027951495
"56",2013,"West Vancouver Island",52744522.5453292,17316756.1188368,0.328313828302354,0.671686171697646
"57",2014,"Aristazabal Island",1373997.30205347,1330071.95205347,0.96803097798347,0.0319690220165298
"58",2014,"Central Coast",7159370.99031804,4845805.25121731,0.676847904343904,0.323152095656096
"59",2014,"Haida Gwaii",19202455.7444676,9029312.29,0.470216539496591,0.529783460503409
"60",2014,"North Coast",9574253.29345103,8738613.75568951,0.912720134704071,0.0872798652959293
"61",2014,"North Vancouver Island",10182434.0274692,5490220.95133018,0.539185516598409,0.460814483401591
"62",2014,"Pacific Offshore",7452710.70142472,9361.24,0.00125608525206948,0.998743914747931
"63",2014,"Strait of Georgia",18466806.5406231,15508684.9506231,0.839814123601027,0.160185876398973
"64",2014,"West Vancouver Island",54251039.6349679,22189020.6701705,0.409006367794442,0.590993632205558
"65",2015,"Aristazabal Island",158817.12,130331.66,0.820639865525832,0.179360134474168
"66",2015,"Central Coast",12406344.2314869,4916529.47,0.396291556824775,0.603708443175225
"67",2015,"Haida Gwaii",25442671.2680319,13542664.7506813,0.532281559904339,0.467718440095661
"68",2015,"North Coast",6911577.3626754,6183163.39693308,0.894609590905258,0.105390409094742
"69",2015,"North Vancouver Island",19546847.2978572,5466401.90503466,0.279656449029195,0.720343550970805
"70",2015,"Pacific Offshore",3566492.22664033,41301.17,0.0115803336655261,0.988419666334474
"71",2015,"Strait of Georgia",22049646.4780375,16916651.2580375,0.767207368829577,0.232792631170423
"72",2015,"West Vancouver Island",57765481.4140125,32733550.7200677,0.566662822135286,0.433337177864714
