rgn_name,rgn_id,rgn_code,year,species,harvest_kgs,stock_id,assessed,rgn_catch,catch_prop
Central Coast,3,CC,2007,arrowtooth_flounder,286285.52,NA,0,9862748.438992398,0.029026951439638224
North Vancouver Island,4,NV,2007,arrowtooth_flounder,136818.43,NA,0,4939794.8401448,0.027697188735066866
West Vancouver Island,5,WV,2015,boccacio,1090.18,BOCACCBCW,1,1088208.43,0.0010018117576979257
Strait of Georgia,6,SG,2015,boccacio,0,BOCACCBCW,1,0,NaN
North Coast,1,NC,2015,boccacio,35.66,BOCACCBCW,1,554189.4199999999,6.434623021132378e-5
Haida Gwaii,2,HG,2015,boccacio,1144.26,BOCACCBCW,1,3779299.05,3.0277043040560656e-4
Central Coast,3,CC,2015,boccacio,3444.57,BOCACCBCW,1,773248.77,0.004454672459420789
North Vancouver Island,4,NV,2015,boccacio,947.84,BOCACCBCW,1,433288.1,0.0021875514236370675
Pacific Offshore,7,PO,2015,boccacio,145.47,BOCACCBCW,1,48695.23,0.0029873562564546874
West Vancouver Island,5,WV,2014,boccacio,2725.62,BOCACCBCW,1,668048.3099999999,0.004079974395863677
Strait of Georgia,6,SG,2014,boccacio,0,BOCACCBCW,1,0,NaN
North Coast,1,NC,2014,boccacio,25.75,BOCACCBCW,1,549029.61,4.6900931263069766e-5
Haida Gwaii,2,HG,2014,boccacio,857.45,BOCACCBCW,1,3344699.98,2.563608111720681e-4
Central Coast,3,CC,2014,boccacio,1771.16,BOCACCBCW,1,962870.7,0.0018394577797413508
North Vancouver Island,4,NV,2014,boccacio,895.11,BOCACCBCW,1,266794.42,0.003355055176941107
Aristazabal Island,8,AZ,2014,boccacio,0,BOCACCBCW,1,43060.19,0
Pacific Offshore,7,PO,2014,boccacio,0,BOCACCBCW,1,47954.08,0
West Vancouver Island,5,WV,2013,boccacio,3042.34,BOCACCBCW,1,800373.67,0.0038011495305686404
North Coast,1,NC,2013,boccacio,69.62,BOCACCBCW,1,744768.2699999999,9.347874070950957e-5
Haida Gwaii,2,HG,2013,boccacio,1200.06,BOCACCBCW,1,3393271.96,3.5365865575949886e-4
Central Coast,3,CC,2013,boccacio,2228.38,BOCACCBCW,1,917509.82,0.0024287260489484464
North Vancouver Island,4,NV,2013,boccacio,2350.85,BOCACCBCW,1,409787.47000000003,0.005736754225306107
West Vancouver Island,5,WV,2012,boccacio,2788.69,BOCACCBCW,1,674266.35,0.004135887843134987
North Coast,1,NC,2012,boccacio,70.26,BOCACCBCW,1,519285.67000000004,1.3530124950299514e-4
Haida Gwaii,2,HG,2012,boccacio,3619.01,BOCACCBCW,1,3698607.7100000004,9.78479007172134e-4
Central Coast,3,CC,2012,boccacio,2973.37,BOCACCBCW,1,1165489.34,0.0025511773449596715
North Vancouver Island,4,NV,2012,boccacio,5882.32,BOCACCBCW,1,429823.94,0.013685417336223756
