stock_id,year,score,basis,bPrime,fPrime,b_bmsy,f_fmsy,rgn_name,species,catch,rgn_catch,rgn_ass_catch_prop
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,West Vancouver Island,albacore_tuna,1148399.56627,29297983.41627,0.03919722220991706
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,Strait of Georgia,albacore_tuna,0,7543.88,0
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,North Coast,albacore_tuna,0,2272795.24,0
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,Haida Gwaii,albacore_tuna,458685.626696,7845445.946696,0.058465207690223016
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,Central Coast,albacore_tuna,34340.9217813,30003347.0117813,0.001144569696434717
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,North Vancouver Island,albacore_tuna,129542.302976,9772304.512976,0.013256064913244292
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,Aristazabal Island,albacore_tuna,0,27757.55,0
ALBANPAC,2007,0.12261363636363626,"F_Fmsy, B_Bmsy",0.1299999999999999,0.9431818181818181,3.24,0.61,Pacific Offshore,albacore_tuna,761553.300879,1064516.6808789999,0.7153981845077008
ALBANPAC,2008,0.1515511363636363,"F_Fmsy, B_Bmsy",0.16999999999999993,0.8914772727272727,3.16,0.5645,West Vancouver Island,albacore_tuna,35292.9655019,44483277.5155019,7.933984965384084e-4
ALBANPAC,2008,0.1515511363636363,"F_Fmsy, B_Bmsy",0.16999999999999993,0.8914772727272727,3.16,0.5645,Strait of Georgia,albacore_tuna,0,4651.72,0
ALBANPAC,2008,0.1515511363636363,"F_Fmsy, B_Bmsy",0.16999999999999993,0.8914772727272727,3.16,0.5645,North Coast,albacore_tuna,0,3751913.03,0
ALBANPAC,2008,0.1515511363636363,"F_Fmsy, B_Bmsy",0.16999999999999993,0.8914772727272727,3.16,0.5645,Haida Gwaii,albacore_tuna,220,7450000.51,2.9530199320751456e-5
ALBANPAC,2008,0.1515511363636363,"F_Fmsy, B_Bmsy",0.16999999999999993,0.8914772727272727,3.16,0.5645,Central Coast,albacore_tuna,0,22705959.03,0
ALBANPAC,2008,0.1515511363636363,"F_Fmsy, B_Bmsy",0.16999999999999993,0.8914772727272727,3.16,0.5645,Aristazabal Island,albacore_tuna,0,27200.52,0
ALBANPAC,2008,0.1515511363636363,"F_Fmsy, B_Bmsy",0.16999999999999993,0.8914772727272727,3.16,0.5645,Pacific Offshore,albacore_tuna,319453.814503,724582.944503,0.4408795665513727
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,West Vancouver Island,albacore_tuna,148303.131613,37419779.171613,0.003963228402093409
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,Strait of Georgia,albacore_tuna,0,39409.399999999994,0
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,North Coast,albacore_tuna,0,842187.1699999999,0
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,Haida Gwaii,albacore_tuna,4998,7722111.55,6.472322974925168e-4
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,Central Coast,albacore_tuna,0,12261406.66,0
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,North Vancouver Island,albacore_tuna,5445,5613769.96,9.69936431096653e-4
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,Aristazabal Island,albacore_tuna,0,25609.350000000002,0
ALBANPAC,2009,0,"F_Fmsy, B_Bmsy",0,0.9210227272727273,3.63,0.5905,Pacific Offshore,albacore_tuna,541354.600173,710985.6501730001,0.7614142423848854
ALBANPAC,2010,0,"F_Fmsy, B_Bmsy",0,0.9321022727272726,3.67,0.60025,West Vancouver Island,albacore_tuna,924752,49179869.88,0.018803465772813468
ALBANPAC,2010,0,"F_Fmsy, B_Bmsy",0,0.9321022727272726,3.67,0.60025,Strait of Georgia,albacore_tuna,0,5777.28,0
ALBANPAC,2010,0,"F_Fmsy, B_Bmsy",0,0.9321022727272726,3.67,0.60025,North Coast,albacore_tuna,0,1510411.17,0
ALBANPAC,2010,0,"F_Fmsy, B_Bmsy",0,0.9321022727272726,3.67,0.60025,Haida Gwaii,albacore_tuna,2217,9269131.43,2.391809865619739e-4
ALBANPAC,2010,0,"F_Fmsy, B_Bmsy",0,0.9321022727272726,3.67,0.60025,Central Coast,albacore_tuna,544,8696643.86,6.255286622717928e-5
