"","stock_id","year","catch"
"1","PHAKEPCOAST",2013,54100
"2","PHAKEPCOAST",2014,37400
"3","PHAKEPCOAST",2015,47300
"4","PHAKEPCOAST",2011,55400
"5","PHAKEPCOAST",2012,46900
"6","PHAKEPCOAST",2010,55600
"7","PHAKEPCOAST",2009,56200
"8","PHAKEPCOAST",2008,73800
"9","PHAKEPCOAST",2007,73200
"10","PHAKEPCOAST",2004,124900
"11","PHAKEPCOAST",2005,102000
"12","PHAKEPCOAST",2006,96200
"13","PHAKEPCOAST",2003,69100
"14","PHAKEPCOAST",2002,56900
"15","PHAKEPCOAST",2001,61000
"16","PHAKEPCOAST",2000,21700
"17","PHAKEPCOAST",1999,87500
"18","PHAKEPCOAST",1998,91000
