year,species,rgn_id,rgn_name,rgn_catch_prop
1996,Hake,1,North Coast,8.631936844855425e-4
1996,Hake,2,Haida Gwaii,0.0032060657473837483
1996,Hake,3,Central Coast,0.00900116302925949
1996,Hake,4,North Vancouver Island,0.0019170602355921434
1996,Hake,5,West Vancouver Island,0.8016789754651207
1996,Hake,6,Strait of Georgia,0.18333210573469327
1996,Hake,8,Aristazabal Island,1.4361034651974979e-6
1996,Halibut,1,North Coast,0.2027747717758807
1996,Halibut,2,Haida Gwaii,0.32765208909498034
1996,Halibut,3,Central Coast,0.30461168902298597
1996,Halibut,4,North Vancouver Island,0.04298858734253649
1996,Halibut,5,West Vancouver Island,0.12038494543329198
1996,Halibut,8,Aristazabal Island,0.001587917330324536
1996,Pacific Ocean Perch,1,North Coast,0.013235841239680114
1996,Pacific Ocean Perch,2,Haida Gwaii,0.6867983224850591
1996,Pacific Ocean Perch,3,Central Coast,0.17836484652594006
1996,Pacific Ocean Perch,4,North Vancouver Island,0.04659089751024054
1996,Pacific Ocean Perch,5,West Vancouver Island,0.07414060059410685
1996,Pacific Ocean Perch,8,Aristazabal Island,8.694916449732454e-4
1996,Sablefish,1,North Coast,0.10671408289836594
1996,Sablefish,2,Haida Gwaii,0.22153206240536716
1996,Sablefish,3,Central Coast,0.09619160001775244
1996,Sablefish,4,North Vancouver Island,0.07584482856497117
1996,Sablefish,5,West Vancouver Island,0.4988761593595557
1996,Sablefish,8,Aristazabal Island,8.412667539875686e-4
1997,Hake,1,North Coast,9.047535652998779e-5
1997,Hake,2,Haida Gwaii,0.002352369220078841
1997,Hake,3,Central Coast,0.005356617514838015
1997,Hake,4,North Vancouver Island,0.001994747930218115
1997,Hake,5,West Vancouver Island,0.91705276093356
1997,Hake,6,Strait of Georgia,0.07314716138351363
1997,Hake,8,Aristazabal Island,5.867661261326275e-6
1997,Halibut,1,North Coast,0.2902068097532357
1997,Halibut,2,Haida Gwaii,0.2769858027706575
1997,Halibut,3,Central Coast,0.21896342590269968
1997,Halibut,4,North Vancouver Island,0.04865983561439383
1997,Halibut,5,West Vancouver Island,0.16449740670027274
1997,Halibut,8,Aristazabal Island,6.867192587405309e-4
1997,Pacific Ocean Perch,1,North Coast,0.00178659965186232
1997,Pacific Ocean Perch,2,Haida Gwaii,0.48016151751540237
1997,Pacific Ocean Perch,3,Central Coast,0.3869378960552123
1997,Pacific Ocean Perch,4,North Vancouver Island,0.05703240648653128
1997,Pacific Ocean Perch,5,West Vancouver Island,0.07074494748728495
1997,Pacific Ocean Perch,8,Aristazabal Island,0.0033366328037068497
1997,Sablefish,1,North Coast,0.06600409799704174
1997,Sablefish,2,Haida Gwaii,0.10734794448594266
1997,Sablefish,3,Central Coast,0.2606012389584622
1997,Sablefish,4,North Vancouver Island,0.05055769242465854
1997,Sablefish,5,West Vancouver Island,0.5151845909885654
1997,Sablefish,8,Aristazabal Island,3.044351453294763e-4
1998,Hake,1,North Coast,0.0017241345682325404
1998,Hake,2,Haida Gwaii,0.004504651987097883
1998,Hake,3,Central Coast,0.003947888987238645
1998,Hake,4,North Vancouver Island,0.006871373388932516
1998,Hake,5,West Vancouver Island,0.9435540683638569
1998,Hake,6,Strait of Georgia,0.039397635297457156
1998,Hake,8,Aristazabal Island,2.474071842812243e-7
1998,Halibut,1,North Coast,0.19640595783989873
1998,Halibut,2,Haida Gwaii,0.2849371295188855
1998,Halibut,3,Central Coast,0.24644365616842465
1998,Halibut,4,North Vancouver Island,0.06193287197784548
1998,Halibut,5,West Vancouver Island,0.2097840153900872
1998,Halibut,8,Aristazabal Island,4.963691048584012e-4
1998,Pacific Ocean Perch,1,North Coast,0.001011268510262192
1998,Pacific Ocean Perch,2,Haida Gwaii,0.549694593276231
1998,Pacific Ocean Perch,3,Central Coast,0.28883301346203966
1998,Pacific Ocean Perch,4,North Vancouver Island,0.07943751990823052
1998,Pacific Ocean Perch,5,West Vancouver Island,0.0790614194578236
1998,Pacific Ocean Perch,8,Aristazabal Island,0.0019621853854130543
1998,Sablefish,1,North Coast,0.10429282660476212
1998,Sablefish,2,Haida Gwaii,0.1016899863744969
1998,Sablefish,3,Central Coast,0.08183138265722957
1998,Sablefish,4,North Vancouver Island,0.05758845347204237
1998,Sablefish,5,West Vancouver Island,0.6544903452540302
1998,Sablefish,8,Aristazabal Island,1.0700563743886795e-4
1999,Hake,1,North Coast,7.74683272360369e-5
1999,Hake,2,Haida Gwaii,0.002069036923170879
1999,Hake,3,Central Coast,0.002364664390143494
1999,Hake,4,North Vancouver Island,0.002848044467141041
1999,Hake,5,West Vancouver Island,0.9659849074189256
1999,Hake,6,Strait of Georgia,0.026652560114724836
1999,Hake,8,Aristazabal Island,3.318358658162685e-6
1999,Halibut,1,North Coast,0.20861688527181516
1999,Halibut,2,Haida Gwaii,0.2548384340614391
1999,Halibut,3,Central Coast,0.285951116945688
1999,Halibut,4,North Vancouver Island,0.039048259084440096
1999,Halibut,5,West Vancouver Island,0.2095002417305504
1999,Halibut,8,Aristazabal Island,0.002045062906067377
1999,Pacific Ocean Perch,1,North Coast,0.002875097901094711
1999,Pacific Ocean Perch,2,Haida Gwaii,0.5074976847673374
1999,Pacific Ocean Perch,3,Central Coast,0.2872139593716073
1999,Pacific Ocean Perch,4,North Vancouver Island,0.10513000351260553
1999,Pacific Ocean Perch,5,West Vancouver Island,0.08234962469018095
1999,Pacific Ocean Perch,8,Aristazabal Island,0.01493362975717406
1999,Sablefish,1,North Coast,0.13801845456860665
1999,Sablefish,2,Haida Gwaii,0.08629588802059365
1999,Sablefish,3,Central Coast,0.11617093337481513
1999,Sablefish,4,North Vancouver Island,0.08196037975450046
1999,Sablefish,5,West Vancouver Island,0.5767363367890544
1999,Sablefish,8,Aristazabal Island,8.180074924297128e-4
2e3,Hake,1,North Coast,0.0012878079003996014
2e3,Hake,2,Haida Gwaii,0.06085939029131496
2e3,Hake,3,Central Coast,0.5902638798939572
2e3,Hake,4,North Vancouver Island,0.11005453822981957
2e3,Hake,5,West Vancouver Island,0.23753438368450866
2e3,Halibut,1,North Coast,0.20345526699700042
2e3,Halibut,2,Haida Gwaii,0.26304373407330306
2e3,Halibut,3,Central Coast,0.3252832318235389
2e3,Halibut,4,North Vancouver Island,0.022287173331140678
2e3,Halibut,5,West Vancouver Island,0.1854825085062709
2e3,Halibut,8,Aristazabal Island,4.480852687461109e-4
2e3,Pacific Ocean Perch,1,North Coast,0.0025588613120746243
2e3,Pacific Ocean Perch,2,Haida Gwaii,0.5684578764411093
2e3,Pacific Ocean Perch,3,Central Coast,0.3035342977128257
2e3,Pacific Ocean Perch,4,North Vancouver Island,0.04745389840781818
2e3,Pacific Ocean Perch,5,West Vancouver Island,0.07665090048671325
2e3,Pacific Ocean Perch,8,Aristazabal Island,0.0013441656394588778
2e3,Sablefish,1,North Coast,0.0512180913943681
2e3,Sablefish,2,Haida Gwaii,0.17060634945080244
2e3,Sablefish,3,Central Coast,0.20455079029424872
2e3,Sablefish,4,North Vancouver Island,0.10791698661946512
2e3,Sablefish,5,West Vancouver Island,0.46566671601415166
2e3,Sablefish,8,Aristazabal Island,4.10662269639553e-5
2001,Hake,1,North Coast,5.3882437550099346e-5
2001,Hake,2,Haida Gwaii,2.064459631128762e-4
2001,Hake,3,Central Coast,2.809527824971047e-4
2001,Hake,4,North Vancouver Island,0.0019234243470209963
2001,Hake,5,West Vancouver Island,0.8640467568115918
2001,Hake,6,Strait of Georgia,0.13348853765822719
2001,Halibut,1,North Coast,0.12491926652434988
2001,Halibut,2,Haida Gwaii,0.2884728742048026
2001,Halibut,3,Central Coast,0.31135217796373504
2001,Halibut,4,North Vancouver Island,0.0431071218374766
2001,Halibut,5,West Vancouver Island,0.2318656056978468
2001,Halibut,8,Aristazabal Island,2.8295377178910036e-4
2001,Pacific Ocean Perch,1,North Coast,9.891633641933744e-4
2001,Pacific Ocean Perch,2,Haida Gwaii,0.5129412977045148
2001,Pacific Ocean Perch,3,Central Coast,0.3275682406123569
2001,Pacific Ocean Perch,4,North Vancouver Island,0.08397701668325333
2001,Pacific Ocean Perch,5,West Vancouver Island,0.07452428163568163
2001,Sablefish,1,North Coast,0.036623434684735286
2001,Sablefish,2,Haida Gwaii,0.15248890508047958
2001,Sablefish,3,Central Coast,0.17421159724373197
2001,Sablefish,4,North Vancouver Island,0.08186928395500491
2001,Sablefish,5,West Vancouver Island,0.5548002385449368
2001,Sablefish,6,Strait of Georgia,4.909897759622712e-6
2001,Sablefish,8,Aristazabal Island,1.6305933519042217e-6
2002,Hake,1,North Coast,1.7840530532206816e-6
2002,Hake,2,Haida Gwaii,5.449206686080224e-5
2002,Hake,3,Central Coast,6.892901903405797e-5
2002,Hake,4,North Vancouver Island,4.33080428568391e-4
2002,Hake,5,West Vancouver Island,0.9063798508079125
2002,Hake,6,Strait of Georgia,0.09306159346524076
2002,Hake,8,Aristazabal Island,2.701593302992558e-7
2002,Halibut,1,North Coast,0.15000758995535057
2002,Halibut,2,Haida Gwaii,0.2236665644669384
2002,Halibut,3,Central Coast,0.39467707386672923
2002,Halibut,4,North Vancouver Island,0.08174006791196953
2002,Halibut,5,West Vancouver Island,0.14965545520642595
2002,Halibut,8,Aristazabal Island,2.532485925863684e-4
2002,Pacific Ocean Perch,1,North Coast,0.0011478187413681842
2002,Pacific Ocean Perch,2,Haida Gwaii,0.5520460930221925
2002,Pacific Ocean Perch,3,Central Coast,0.28374261748097246
2002,Pacific Ocean Perch,4,North Vancouver Island,0.08413954765360099
2002,Pacific Ocean Perch,5,West Vancouver Island,0.07888110762451728
2002,Pacific Ocean Perch,8,Aristazabal Island,4.281547734865313e-5
2002,Sablefish,1,North Coast,0.05279645551885702
2002,Sablefish,2,Haida Gwaii,0.148778185958864
2002,Sablefish,3,Central Coast,0.17434675031648156
2002,Sablefish,4,North Vancouver Island,0.1278156747341962
2002,Sablefish,5,West Vancouver Island,0.49625015343071066
2002,Sablefish,6,Strait of Georgia,1.2780040890513248e-5
2003,Hake,1,North Coast,6.3711985629721e-5
2003,Hake,2,Haida Gwaii,4.384912234453009e-4
2003,Hake,3,Central Coast,0.002361805970069957
2003,Hake,4,North Vancouver Island,0.0024576025999490368
2003,Hake,5,West Vancouver Island,0.920922822322226
2003,Hake,6,Strait of Georgia,0.07375556589867997
2003,Halibut,1,North Coast,0.12152866191425256
2003,Halibut,2,Haida Gwaii,0.20259737174554343
2003,Halibut,3,Central Coast,0.463237809725459
2003,Halibut,4,North Vancouver Island,0.06420355042329945
2003,Halibut,5,West Vancouver Island,0.14836229028949605
2003,Halibut,6,Strait of Georgia,7.031590194950321e-5
2003,Pacific Ocean Perch,1,North Coast,4.206239455821471e-4
2003,Pacific Ocean Perch,2,Haida Gwaii,0.5513453568795819
2003,Pacific Ocean Perch,3,Central Coast,0.24775148574055775
2003,Pacific Ocean Perch,4,North Vancouver Island,0.11670830644207367
2003,Pacific Ocean Perch,5,West Vancouver Island,0.08377422699220465
2003,Sablefish,1,North Coast,0.02386116519142216
2003,Sablefish,2,Haida Gwaii,0.15894888173918045
2003,Sablefish,3,Central Coast,0.09866250402413486
2003,Sablefish,4,North Vancouver Island,0.07931662134482409
2003,Sablefish,5,West Vancouver Island,0.6391827727296937
2003,Sablefish,6,Strait of Georgia,2.8054970744647822e-5
2004,Hake,1,North Coast,0.0018596148069731215
2004,Hake,2,Haida Gwaii,0.0030298741221466688
2004,Hake,3,Central Coast,0.004995010743135781
2004,Hake,4,North Vancouver Island,0.0015937574692198734
2004,Hake,5,West Vancouver Island,0.9884608997678224
2004,Hake,6,Strait of Georgia,6.084309070208629e-5
2004,Halibut,1,North Coast,0.17735165906896228
2004,Halibut,2,Haida Gwaii,0.22487859209817465
2004,Halibut,3,Central Coast,0.3653929874747824
2004,Halibut,4,North Vancouver Island,0.06392780266547135
2004,Halibut,5,West Vancouver Island,0.16844895869260929
2004,Pacific Ocean Perch,1,North Coast,0.001346172992737792
2004,Pacific Ocean Perch,2,Haida Gwaii,0.5424055659126092
2004,Pacific Ocean Perch,3,Central Coast,0.2914207979724722
2004,Pacific Ocean Perch,4,North Vancouver Island,0.07505876375524127
2004,Pacific Ocean Perch,5,West Vancouver Island,0.08976869936693949
2004,Sablefish,1,North Coast,0.022992587134453277
2004,Sablefish,2,Haida Gwaii,0.14619267194924435
2004,Sablefish,3,Central Coast,0.04769615426055709
2004,Sablefish,4,North Vancouver Island,0.03760201613857307
2004,Sablefish,5,West Vancouver Island,0.745511960134611
2004,Sablefish,6,Strait of Georgia,4.6103825612178074e-06
2005,Hake,1,North Coast,0.00951815008204719
2005,Hake,2,Haida Gwaii,0.010429474522387384
2005,Hake,3,Central Coast,0.004512398883513364
