rgn_name,rgn_id,assessid,stockid,area_km2,a_prop,tot_area_km2
West Vancouver Island,5,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,22419.613721079662,0.1814294704365307,123572.06173361285
Strait of Georgia,6,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,8024.812531802336,0.06494034670313756,123572.06173361285
North Coast,1,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,16869.770944514745,0.13651767808876816,123572.06173361285
Haida Gwaii,2,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,40254.03344939187,0.32575351486947285,123572.06173361285
Central Coast,3,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,20205.284262822508,0.16351013311066628,123572.06173361285
North Vancouver Island,4,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,12617.019632650541,0.10210252589172901,123572.06173361285
Aristazabal Island,8,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,3181.5271913511915,0.02574633089969546,123572.06173361285
West Vancouver Island,5,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,22419.613721079662,0.1814294704365307,123572.06173361285
Strait of Georgia,6,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,8024.812531802336,0.06494034670313756,123572.06173361285
North Coast,1,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,16869.770944514745,0.13651767808876816,123572.06173361285
Haida Gwaii,2,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,40254.03344939187,0.32575351486947285,123572.06173361285
Central Coast,3,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,20205.284262822508,0.16351013311066628,123572.06173361285
North Vancouver Island,4,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,12617.019632650541,0.10210252589172901,123572.06173361285
Aristazabal Island,8,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,3181.5271913511915,0.02574633089969546,123572.06173361285
West Vancouver Island,5,DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,LINGCODSOG,1413.1709645925569,0.1148191284344949,12307.800833018697
Strait of Georgia,6,DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,LINGCODSOG,7282.66572342243,0.5917113725048989,12307.800833018697
North Vancouver Island,4,DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,LINGCODSOG,3611.964145003708,0.29346949906060615,12307.800833018697
Haida Gwaii,2,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,8688.436790781887,0.27694612998594154,31372.29897822704
Central Coast,3,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,17283.415526164663,0.5509132607132067,31372.29897822704
North Vancouver Island,4,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,5317.240416758449,0.16948838911833375,31372.29897822704
Aristazabal Island,8,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,83.20624452204538,0.0026522201825180886,31372.29897822704
North Coast,1,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,16289.562655226664,0.2806870501784809,58034.60702896195
Haida Gwaii,2,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,36463.267315020516,0.6283021318094505,58034.60702896195
Central Coast,3,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,2218.3762440175747,0.03822505841920326,58034.60702896195
Aristazabal Island,8,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,3063.4008146971973,0.05278575959286532,58034.60702896195
West Vancouver Island,5,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,PCODWCVANI,25845.525868112436,0.8713094800654839,29662.853967995383
North Vancouver Island,4,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,PCODWCVANI,3817.328099882952,0.12869051993451616,29662.853967995383
Haida Gwaii,2,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,8688.436790781887,0.27694612998594154,31372.29897822704
Central Coast,3,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,17283.415526164663,0.5509132607132067,31372.29897822704
North Vancouver Island,4,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,5317.240416758449,0.16948838911833375,31372.29897822704
Aristazabal Island,8,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,83.20624452204538,0.0026522201825180886,31372.29897822704
North Coast,1,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,16289.562655226664,0.2806870501784809,58034.60702896195
Haida Gwaii,2,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,36463.267315020516,0.6283021318094505,58034.60702896195
Central Coast,3,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,2218.3762440175747,0.03822505841920326,58034.60702896195
Aristazabal Island,8,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,3063.4008146971973,0.05278575959286532,58034.60702896195
West Vancouver Island,5,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,27351.360495458877,3.7397004024319403e-4,73137838.73615167
